transaction_id;date;from_account;to_account;amount_nok;jurisdiction;note;risk_flag
TX-0000001;2023-02-02;NO100001;LV900001;742211;NO;ordinær overføring;
TX-0000002;2023-03-03;NO100002;LV900002;551578;AE;ordinær overføring;
TX-0000003;2023-04-04;NO100003;LV900003;516508;NO;ordinær overføring;
TX-0000004;2023-05-05;NO100004;LV900004;629806;MT;ordinær overføring;
TX-0000005;2023-06-06;NO100005;LV900005;538281;CY;ordinær overføring;
TX-0000006;2023-07-07;NO100006;LV900006;761088;EE;ordinær overføring;
TX-0000007;2023-08-08;NO100007;LV900007;429071;MT;ordinær overføring;
TX-0000008;2023-09-09;NO100008;LV900008;679346;EE;ordinær overføring;
TX-0000009;2023-10-10;NO100009;LV900009;241289;MT;ordinær overføring;
TX-0000010;2023-11-11;NO100010;LV900010;185767;CY;ordinær overføring;
TX-0000011;2023-12-12;NO100011;LV900011;983224;AE;ordinær overføring;
TX-0000012;2023-01-13;NO100012;LV900012;271477;EE;ordinær overføring;
TX-0000013;2023-02-14;NO100013;LV900013;221788;EE;ordinær overføring;
TX-0000014;2023-03-15;NO100014;LV900014;263289;EE;ordinær overføring;
TX-0000015;2023-04-16;NO100015;LV900015;315548;AE;ordinær overføring;
TX-0000016;2023-05-17;NO100016;LV900016;576800;EE;ordinær overføring;
TX-0000017;2023-06-18;NO100017;LV900017;754154;LV;ordinær overføring;
TX-0000018;2023-07-19;NO100018;LV900018;581813;MT;ordinær overføring;
TX-0000019;2023-08-20;NO100019;LV900019;49900;MT;ordinær overføring;
TX-0000020;2023-09-21;NO100020;LV900020;317713;EE;ordinær overføring;
TX-0000021;2023-10-22;NO100021;LV900021;249153;NO;ordinær overføring;
TX-0000022;2023-11-23;NO100022;LV900022;362359;MT;ordinær overføring;
TX-0000023;2023-12-24;NO100023;LV900023;584645;LV;ordinær overføring;
TX-0000024;2023-01-25;NO100024;LV900024;537193;AE;ordinær overføring;
TX-0000025;2023-02-26;NO100025;LV900025;706719;MT;ordinær overføring;
TX-0000026;2023-03-27;NO100026;LV900026;115161;NO;ordinær overføring;
TX-0000027;2023-04-28;NO100027;LV900027;377651;AE;ordinær overføring;
TX-0000028;2023-05-01;NO100028;LV900028;291626;EE;ordinær overføring;
TX-0000029;2023-06-02;NO100029;LV900029;513387;LV;ordinær overføring;
TX-0000030;2023-07-03;NO100030;LV900030;90806;CY;ordinær overføring;
TX-0000031;2023-08-04;NO100031;LV900031;594838;LV;ordinær overføring;
TX-0000032;2023-09-05;NO100032;LV900032;614060;AE;ordinær overføring;
TX-0000033;2023-10-06;NO100033;LV900033;155077;EE;ordinær overføring;
TX-0000034;2023-11-07;NO100034;LV900034;607776;CY;ordinær overføring;
TX-0000035;2023-12-08;NO100035;LV900035;946656;MT;ordinær overføring;
TX-0000036;2023-01-09;NO100036;LV900036;732798;EE;ordinær overføring;
TX-0000037;2023-02-10;NO100037;LV900037;487271;MT;ordinær overføring;
TX-0000038;2023-03-11;NO100038;LV900038;49950;MT;ordinær overføring;
TX-0000039;2023-04-12;NO100039;LV900039;927336;NO;ordinær overføring;
TX-0000040;2023-05-13;NO100040;LV900040;369256;LV;ordinær overføring;
TX-0000041;2023-06-14;NO100041;LV900041;312274;MT;ordinær overføring;
TX-0000042;2023-07-15;NO100042;LV900042;187429;NO;ordinær overføring;
TX-0000043;2023-08-16;NO100043;LV900043;645986;NO;ordinær overføring;
TX-0000044;2023-09-17;NO100044;LV900044;374821;EE;ordinær overføring;
TX-0000045;2023-10-18;NO100045;LV900045;844780;MT;ordinær overføring;
TX-0000046;2023-11-19;NO100046;LV900046;355867;NO;ordinær overføring;
TX-0000047;2023-12-20;NO100047;LV900047;778676;LV;ordinær overføring;
TX-0000048;2023-01-21;NO100048;LV900048;392816;NO;ordinær overføring;
TX-0000049;2023-02-22;NO100049;LV900049;760146;LV;ordinær overføring;
TX-0000050;2023-03-23;NO100050;LV900050;902938;LV;ordinær overføring;
TX-0000051;2023-04-24;NO100051;LV900051;169579;NO;ordinær overføring;
TX-0000052;2023-05-25;NO100052;LV900052;718969;AE;ordinær overføring;
TX-0000053;2023-06-26;NO100053;LV900053;812027;CY;ordinær overføring;
TX-0000054;2023-07-27;NO100054;LV900054;596625;LV;ordinær overføring;
TX-0000055;2023-08-28;NO100055;LV900055;840237;NO;ordinær overføring;
TX-0000056;2023-09-01;NO100056;LV900056;186479;NO;ordinær overføring;
TX-0000057;2023-10-02;NO100057;LV900057;49950;AE;splittet overføring - mulig strukturering;STRUCTURING
TX-0000058;2023-11-03;NO100058;LV900058;762593;EE;ordinær overføring;
TX-0000059;2023-12-04;NO100059;LV900059;790670;NO;ordinær overføring;
TX-0000060;2023-01-05;NO100060;LV900060;830081;CY;ordinær overføring;
TX-0000061;2023-02-06;NO100061;LV900061;431934;NO;ordinær overføring;
TX-0000062;2023-03-07;NO100062;LV900062;538352;NO;ordinær overføring;
TX-0000063;2023-04-08;NO100063;LV900063;458045;CY;ordinær overføring;
TX-0000064;2023-05-09;NO100064;LV900064;396300;EE;ordinær overføring;
TX-0000065;2023-06-10;NO100065;LV900065;469156;CY;ordinær overføring;
TX-0000066;2023-07-11;NO100066;LV900066;236490;MT;ordinær overføring;
TX-0000067;2023-08-12;NO100067;LV900067;821745;EE;ordinær overføring;
TX-0000068;2023-09-13;NO100068;LV900068;919317;EE;ordinær overføring;
TX-0000069;2023-10-14;NO100069;LV900069;377908;EE;ordinær overføring;
TX-0000070;2023-11-15;NO100070;LV900070;870983;LV;ordinær overføring;
TX-0000071;2023-12-16;NO100071;LV900071;256317;EE;ordinær overføring;
TX-0000072;2023-01-17;NO100072;LV900072;610722;AE;ordinær overføring;
TX-0000073;2023-02-18;NO100073;LV900073;125355;LV;ordinær overføring;
TX-0000074;2023-03-19;NO100074;LV900074;907120;LV;ordinær overføring;
TX-0000075;2023-04-20;NO100075;LV900075;695405;EE;ordinær overføring;
TX-0000076;2023-05-21;NO100076;LV900076;49875;NO;ordinær overføring;
TX-0000077;2023-06-22;NO100077;LV900077;859131;CY;ordinær overføring;
TX-0000078;2023-07-23;NO100078;LV900078;360729;EE;ordinær overføring;
TX-0000079;2023-08-24;NO100079;LV900079;379352;EE;ordinær overføring;
TX-0000080;2023-09-25;NO100080;LV900080;894434;EE;ordinær overføring;
TX-0000081;2023-10-26;NO100081;LV900081;626587;LV;ordinær overføring;
TX-0000082;2023-11-27;NO100082;LV900082;154926;CY;ordinær overføring;
TX-0000083;2023-12-28;NO100083;LV900083;722721;MT;ordinær overføring;
TX-0000084;2023-01-01;NO100084;LV900084;210536;NO;ordinær overføring;
TX-0000085;2023-02-02;NO100085;LV900085;921728;AE;ordinær overføring;
TX-0000086;2023-03-03;NO100086;LV900086;358175;MT;ordinær overføring;
TX-0000087;2023-04-04;NO100087;LV900087;205620;AE;ordinær overføring;
TX-0000088;2023-05-05;NO100088;LV900088;632090;AE;ordinær overføring;
TX-0000089;2023-06-06;NO100089;LV900089;999696;MT;ordinær overføring;
TX-0000090;2023-07-07;NO100090;LV900090;937607;AE;ordinær overføring;
TX-0000091;2023-08-08;NO100091;LV900091;49878;NO;ordinær overføring;
TX-0000092;2023-09-09;NO100092;LV900092;299478;NO;ordinær overføring;
TX-0000093;2023-10-10;NO100093;LV900093;904713;NO;ordinær overføring;
TX-0000094;2023-11-11;NO100094;LV900094;393250;EE;ordinær overføring;
TX-0000095;2023-12-12;NO100095;LV900095;49950;AE;ordinær overføring;
TX-0000096;2023-01-13;NO100096;LV900096;276118;NO;ordinær overføring;
TX-0000097;2023-02-14;NO100097;LV900097;120160;EE;ordinær overføring;
TX-0000098;2023-03-15;NO100098;LV900098;514887;MT;ordinær overføring;
TX-0000099;2023-04-16;NO100099;LV900099;522406;CY;ordinær overføring;
TX-0000100;2023-05-17;NO100100;LV900100;198478;NO;ordinær overføring;
TX-0000101;2023-06-18;NO100101;LV900101;871377;MT;ordinær overføring;
TX-0000102;2023-07-19;NO100102;LV900102;294538;MT;ordinær overføring;
TX-0000103;2023-08-20;NO100103;LV900103;723767;NO;ordinær overføring;
TX-0000104;2023-09-21;NO100104;LV900104;123946;AE;ordinær overføring;
TX-0000105;2023-10-22;NO100105;LV900105;233695;CY;ordinær overføring;
TX-0000106;2023-11-23;NO100106;LV900106;696289;LV;ordinær overføring;
TX-0000107;2023-12-24;NO100107;LV900107;165860;CY;ordinær overføring;
TX-0000108;2023-01-25;NO100108;LV900108;756154;EE;ordinær overføring;
TX-0000109;2023-02-26;NO100109;LV900109;355784;MT;ordinær overføring;
TX-0000110;2023-03-27;NO100110;LV900110;99777;EE;ordinær overføring;
TX-0000111;2023-04-28;NO100111;LV900111;296941;CY;ordinær overføring;
TX-0000112;2023-05-01;NO100112;LV900112;614897;AE;ordinær overføring;
TX-0000113;2023-06-02;NO100113;LV900113;834541;CY;mellomledd til kontantuttak;LAYERING
TX-0000114;2023-07-03;NO100114;LV900114;49875;LV;splittet overføring - mulig strukturering;STRUCTURING
TX-0000115;2023-08-04;NO100115;LV900115;557292;NO;ordinær overføring;
TX-0000116;2023-09-05;NO100116;LV900116;587545;AE;ordinær overføring;
TX-0000117;2023-10-06;NO100117;LV900117;83290;LV;ordinær overføring;
TX-0000118;2023-11-07;NO100118;LV900118;479572;AE;ordinær overføring;
TX-0000119;2023-12-08;NO100119;LV900119;998062;MT;ordinær overføring;
TX-0000120;2023-01-09;NO100120;LV900120;486229;EE;ordinær overføring;
TX-0000121;2023-02-10;NO100121;LV900121;279528;MT;ordinær overføring;
TX-0000122;2023-03-11;NO100122;LV900122;784288;LV;ordinær overføring;
TX-0000123;2023-04-12;NO100123;LV900123;999057;MT;ordinær overføring;
TX-0000124;2023-05-13;NO100124;LV900124;509608;EE;ordinær overføring;
TX-0000125;2023-06-14;NO100125;LV900125;604752;LV;ordinær overføring;
TX-0000126;2023-07-15;NO100126;LV900126;88695;LV;ordinær overføring;
TX-0000127;2023-08-16;NO100127;LV900127;845699;LV;ordinær overføring;
TX-0000128;2023-09-17;NO100128;LV900128;435845;EE;ordinær overføring;
TX-0000129;2023-10-18;NO100129;LV900129;72142;LV;ordinær overføring;
